 Copyright (C) 2011 ASIP Solutions, Inc. All rights reserved. 
6/29/21 2:51 AM : Query "function(mifu,synthesis,bit_width=8:address_space=16:access_width=8:access_mode=single_cycle:type=read_only)" finished as normally.
6/29/21 2:51 AM : Query "portinfo(mifu,synthesis,bit_width=8:address_space=16:access_width=8:access_mode=single_cycle:type=read_only)" finished as normally.
6/29/21 2:51 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 2:51 AM : Query "function(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:51 AM : Query "portinfo(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:52 AM : Query "function(stepsize,synthesis,bit_width=32)" finished as normally.
6/29/21 2:52 AM : Query "portinfo(stepsize,synthesis,bit_width=32)" finished as normally.
6/29/21 2:52 AM : Query "shape(area,stepsize,synthesis,priority=area:bit_width=32)" finished as normally.
6/29/21 2:52 AM : Query "timing(delay,stepsize,synthesis,priority=area:bit_width=32)" finished as normally.
6/29/21 2:52 AM : Query "power(power,stepsize,synthesis,priority=area:bit_width=32)" finished as normally.
6/29/21 2:52 AM : Query "search()" finished as normally.
6/29/21 2:52 AM : Query "search()" finished as normally.
6/29/21 2:52 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 2:52 AM : Query "function(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:52 AM : Query "portinfo(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:53 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 2:53 AM : Query "function(clamp,synthesis,bit_width=4)" finished as normally.
6/29/21 2:53 AM : Query "portinfo(clamp,synthesis,bit_width=4)" finished as normally.
6/29/21 2:53 AM : "Resource Declaration" re-edit.
6/29/21 2:54 AM : Query "search()" finished as normally.
6/29/21 2:54 AM : Query "search()" finished as normally.
6/29/21 2:54 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 2:54 AM : Query "function(clamp,synthesis,bit_width=4)" finished as normally.
6/29/21 2:54 AM : Query "portinfo(clamp,synthesis,bit_width=4)" finished as normally.
6/29/21 2:54 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 2:54 AM : Query "function(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:54 AM : Query "portinfo(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:54 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 2:54 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 2:56 AM : Query "parameter(index,synthesis)" finished as normally.
6/29/21 2:56 AM : Query "function(index,synthesis,bit_width=4)" finished as normally.
6/29/21 2:56 AM : Query "portinfo(index,synthesis,bit_width=4)" finished as normally.
6/29/21 2:57 AM : Query "parameter(index,synthesis)" finished as normally.
6/29/21 2:57 AM : Query "parameter(index,synthesis)" finished as normally.
6/29/21 2:57 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 2:57 AM : Query "function(clamp,synthesis,bit_width=4)" finished as normally.
6/29/21 2:57 AM : Query "portinfo(clamp,synthesis,bit_width=4)" finished as normally.
6/29/21 2:57 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 2:57 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 2:58 AM : Query "parameter(adpcm,synthesis)" finished as normally.
6/29/21 2:58 AM : Query "function(adpcm,synthesis,bit_width=4)" finished as normally.
6/29/21 2:58 AM : Query "portinfo(adpcm,synthesis,bit_width=4)" finished as normally.
6/29/21 2:58 AM : Query "parameter(adpcm,synthesis)" finished as normally.
6/29/21 2:58 AM : Query "parameter(adpcm,synthesis)" finished as normally.
6/29/21 2:59 AM : Query "function(browregfile,synthesis,bit_width=32:num_register=32:num_read_port=2:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "portinfo(browregfile,synthesis,bit_width=32:num_register=32:num_read_port=2:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "shape(area,browregfile,synthesis,priority=area:bit_width=32:num_register=32:num_read_port=2:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "timing(delay,browregfile,synthesis,priority=area:bit_width=32:num_register=32:num_read_port=2:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "power(power,browregfile,synthesis,priority=area:bit_width=32:num_register=32:num_read_port=2:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "function(browregfile,synthesis,bit_width=32:num_register=32:num_read_port=4:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "portinfo(browregfile,synthesis,bit_width=32:num_register=32:num_read_port=4:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "shape(area,browregfile,synthesis,priority=area:bit_width=32:num_register=32:num_read_port=4:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "timing(delay,browregfile,synthesis,priority=area:bit_width=32:num_register=32:num_read_port=4:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "power(power,browregfile,synthesis,priority=area:bit_width=32:num_register=32:num_read_port=4:num_write_port=1:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "function(browregfile,synthesis,bit_width=32:num_register=32:num_read_port=4:num_write_port=2:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "portinfo(browregfile,synthesis,bit_width=32:num_register=32:num_read_port=4:num_write_port=2:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "shape(area,browregfile,synthesis,priority=area:bit_width=32:num_register=32:num_read_port=4:num_write_port=2:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "timing(delay,browregfile,synthesis,priority=area:bit_width=32:num_register=32:num_read_port=4:num_write_port=2:num_bank=1)" finished as normally.
6/29/21 2:59 AM : Query "power(power,browregfile,synthesis,priority=area:bit_width=32:num_register=32:num_read_port=4:num_write_port=2:num_bank=1)" finished as normally.
6/29/21 2:59 AM : "Resource Declaration" save
6/29/21 2:59 AM : "Resource Declaration" complete.
6/29/21 2:59 AM : "Resource Declaration" save
6/29/21 2:59 AM : "Resource Declaration" finish browse.
6/29/21 2:59 AM : "Storage Spec" start edit.
6/29/21 3:00 AM : "Storage Spec" save
6/29/21 3:00 AM : "Storage Spec" complete.
6/29/21 3:00 AM : "Storage Spec" finish browse.
6/29/21 3:00 AM : "Interface Definition" complete.
6/29/21 3:00 AM : "Interface Definition" start browse.
6/29/21 3:00 AM : "Interface Definition" finish browse.
6/29/21 3:00 AM : Save file "browstd32.pdb".
6/29/21 3:00 AM : "Main menu" quit.
6/29/21 3:02 AM : "Main menu" start.
6/29/21 3:02 AM : Load file "ASIPmeisterStd.ini".
6/29/21 3:02 AM : Load file "browstd32.pdb".
6/29/21 3:02 AM : Query "parameter(pcu,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(alu,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(multiplier,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(divider,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(shifter,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(wire_in,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(wire_out,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(fwu,synthesis)" finished as normally.
